ds,yhat,yhat_lower,yhat_upper,GPU
2026-01-01,261.0383803052893,237.32521505253894,284.4184751536399,Radeon R9 370
2026-02-01,293.49635724021414,269.8861504220461,314.818811849905,Radeon R9 370
2026-03-01,295.4815474958802,272.22535841616065,319.0043674259265,Radeon R9 370
2026-04-01,267.4903234822982,244.407747077953,290.2232244452385,Radeon R9 370
2026-05-01,294.81249602373504,273.0454441468891,318.1475716179899,Radeon R9 370
2026-06-01,302.43336951592477,279.9878567751452,326.8625849553088,Radeon R9 370
2026-07-01,273.9421918132602,250.49138284379794,296.73901256561004,Radeon R9 370
2026-08-01,306.9002352091267,284.33542880510925,329.2432101828244,Radeon R9 370
2026-09-01,309.38519149958165,287.58811846611223,332.4021104888255,Radeon R9 370
2026-10-01,280.3939852979595,258.33124130780055,304.91397971586065,Radeon R9 370
2026-11-01,312.8519622328744,290.7213864899933,334.3044949606825,Radeon R9 370
2026-12-01,315.83705983043905,293.94984477360384,339.1201411185847,Radeon R9 370
2027-01-01,312.18291076074865,289.9835712516557,335.25435189215364,Radeon R9 370
2027-02-01,319.80378425293895,296.8925788004624,342.8832422852339,Radeon R9 370
2027-03-01,321.7889745085891,298.1617519617066,344.35723996030816,Radeon R9 370
2027-04-01,293.2977219596933,267.7997258891194,315.6121309938454,Radeon R9 370
2027-05-01,326.2558402017701,302.86333909529884,349.1065362393406,Radeon R9 370
2027-06-01,328.7407964921642,305.5018939474743,349.78412547191283,Radeon R9 370
2027-07-01,299.74959029060744,276.47321027515835,322.12065238374356,Radeon R9 370
2027-08-01,332.2075672255349,310.0899274492595,355.9995127461174,Radeon R9 370
2027-09-01,304.2163432120117,281.4796677408402,328.23545450200004,Radeon R9 370
2027-10-01,331.53851575341497,308.7485449778419,355.3486292691527,Radeon R9 370
2027-11-01,339.1593892456311,315.8673360554035,361.2782342389543,Radeon R9 370
2027-12-01,310.6682115428658,286.55167056277213,332.32189312264563,Radeon R9 370
2028-01-01,343.6262549387693,321.99188110782575,366.9511081201184,Radeon R9 370
2028-02-01,346.11121122921224,323.943145489478,368.8199826383425,Radeon R9 370
2028-03-01,317.1200798738277,292.94506920388017,339.1856505204636,Radeon R9 370
2028-04-01,350.0781232696693,326.75299644816914,371.95573735373097,Radeon R9 370
2028-05-01,352.0631259073975,327.4657873080327,373.8096904203424,Radeon R9 370
2028-06-01,323.57187335859646,301.52867847734774,344.11502697812034,Radeon R9 370
2028-07-01,356.5299916005329,331.89490426379353,379.0853948426428,Radeon R9 370
2028-08-01,359.0149478910109,334.2378568314883,382.2896227193532,Radeon R9 370
2028-09-01,355.36079882127865,331.8947784720433,378.1492775570339,Radeon R9 370
