Date,Name,Retail Price
1/3/2023,GeForce RTX 2080 Ti,0
1/3/2024,GeForce RTX 2080 Ti,0
1/4/2023,GeForce RTX 2080 Ti,999
1/4/2024,GeForce RTX 2080 Ti,0
1/5/2023,GeForce RTX 2080 Ti,728
1/5/2024,GeForce RTX 2080 Ti,0
1/6/2023,GeForce RTX 2080 Ti,1455
1/6/2024,GeForce RTX 2080 Ti,0
1/7/2023,GeForce RTX 2080 Ti,1411
1/7/2024,GeForce RTX 2080 Ti,1299
1/8/2023,GeForce RTX 2080 Ti,1241
1/8/2024,GeForce RTX 2080 Ti,1299
1/9/2023,GeForce RTX 2080 Ti,1310
1/9/2024,GeForce RTX 2080 Ti,1299
1/10/2023,GeForce RTX 2080 Ti,1375
1/10/2024,GeForce RTX 2080 Ti,1299
1/11/2022,GeForce RTX 2080 Ti,799
1/11/2023,GeForce RTX 2080 Ti,1400
1/11/2024,GeForce RTX 2080 Ti,1296
1/12/2022,GeForce RTX 2080 Ti,1859
1/12/2023,GeForce RTX 2080 Ti,0
1/12/2024,GeForce RTX 2080 Ti,1295
1/1/2023,GeForce RTX 3050,302
1/1/2024,GeForce RTX 3050,217
1/2/2023,GeForce RTX 3050,300
1/2/2024,GeForce RTX 3050,220
1/3/2023,GeForce RTX 3050,285
1/3/2024,GeForce RTX 3050,240
1/4/2023,GeForce RTX 3050,280
1/4/2024,GeForce RTX 3050,210
1/5/2023,GeForce RTX 3050,265
1/5/2024,GeForce RTX 3050,203
1/6/2023,GeForce RTX 3050,220
1/6/2024,GeForce RTX 3050,203
1/7/2023,GeForce RTX 3050,225
1/7/2024,GeForce RTX 3050,188
1/8/2023,GeForce RTX 3050,228
1/8/2024,GeForce RTX 3050,198
1/9/2023,GeForce RTX 3050,221
1/9/2024,GeForce RTX 3050,211
1/10/2023,GeForce RTX 3050,216
1/10/2024,GeForce RTX 3050,210
1/11/2022,GeForce RTX 3050,309
1/11/2023,GeForce RTX 3050,216
1/11/2024,GeForce RTX 3050,218
1/12/2022,GeForce RTX 3050,295
1/12/2023,GeForce RTX 3050,212
1/12/2024,GeForce RTX 3050,212
1/1/2023,GeForce RTX 3060,362
1/1/2024,GeForce RTX 3060,284
1/2/2023,GeForce RTX 3060,333
1/2/2024,GeForce RTX 3060,288
1/3/2023,GeForce RTX 3060,348
1/3/2024,GeForce RTX 3060,293
1/4/2023,GeForce RTX 3060,344
1/4/2024,GeForce RTX 3060,288
1/5/2023,GeForce RTX 3060,314
1/5/2024,GeForce RTX 3060,289
1/6/2023,GeForce RTX 3060,280
1/6/2024,GeForce RTX 3060,282
1/7/2023,GeForce RTX 3060,276
1/7/2024,GeForce RTX 3060,276
1/8/2023,GeForce RTX 3060,270
1/8/2024,GeForce RTX 3060,280
1/9/2023,GeForce RTX 3060,278
1/9/2024,GeForce RTX 3060,279
1/10/2023,GeForce RTX 3060,280
1/10/2024,GeForce RTX 3060,281
1/11/2022,GeForce RTX 3060,367
1/11/2023,GeForce RTX 3060,279
1/11/2024,GeForce RTX 3060,280
1/12/2022,GeForce RTX 3060,362
1/12/2023,GeForce RTX 3060,287
1/12/2024,GeForce RTX 3060,280
1/1/2023,GeForce RTX 3060 Ti,495
1/1/2024,GeForce RTX 3060 Ti,360
1/2/2023,GeForce RTX 3060 Ti,502
1/2/2024,GeForce RTX 3060 Ti,415
1/3/2023,GeForce RTX 3060 Ti,439
1/3/2024,GeForce RTX 3060 Ti,443
1/4/2023,GeForce RTX 3060 Ti,428
1/4/2024,GeForce RTX 3060 Ti,356
1/5/2023,GeForce RTX 3060 Ti,391
1/5/2024,GeForce RTX 3060 Ti,361
1/6/2023,GeForce RTX 3060 Ti,331
1/6/2024,GeForce RTX 3060 Ti,441
1/7/2023,GeForce RTX 3060 Ti,325
1/7/2024,GeForce RTX 3060 Ti,458
1/8/2023,GeForce RTX 3060 Ti,323
1/8/2024,GeForce RTX 3060 Ti,412
1/9/2023,GeForce RTX 3060 Ti,329
1/9/2024,GeForce RTX 3060 Ti,428
1/10/2023,GeForce RTX 3060 Ti,329
1/10/2024,GeForce RTX 3060 Ti,418
1/11/2022,GeForce RTX 3060 Ti,439
1/11/2023,GeForce RTX 3060 Ti,367
1/11/2024,GeForce RTX 3060 Ti,492
1/12/2022,GeForce RTX 3060 Ti,514
1/12/2023,GeForce RTX 3060 Ti,400
1/12/2024,GeForce RTX 3060 Ti,549
1/1/2023,GeForce RTX 3070,601
1/1/2024,GeForce RTX 3070,457
1/2/2023,GeForce RTX 3070,588
1/2/2024,GeForce RTX 3070,485
1/3/2023,GeForce RTX 3070,557
1/3/2024,GeForce RTX 3070,449
1/4/2023,GeForce RTX 3070,557
1/4/2024,GeForce RTX 3070,430
1/5/2023,GeForce RTX 3070,492
