ds,yhat,yhat_lower,yhat_upper,GPU
2028-12-01,2876.6433324149516,-11358.818909208016,16547.866927197923,GeForce RTX 4070 Ti SUPER
2029-01-01,2912.7775423442804,-11682.656479872427,16918.88028561957,GeForce RTX 4070 Ti SUPER
2024-01-03,983.41611712,872.37040324197,1089.2866082761825,GeForce RTX 4080 SUPER
2024-01-04,991.8725849742223,890.0719693258656,1101.6713195196073,GeForce RTX 4080 SUPER
2024-01-05,1000.3290550466522,887.7064285389617,1114.8264396805555,GeForce RTX 4080 SUPER
2024-01-06,1008.7855291607248,900.0559210006097,1113.8166352436667,GeForce RTX 4080 SUPER
2024-01-07,1017.2420017899449,907.3339095118577,1124.4595200707245,GeForce RTX 4080 SUPER
2024-01-08,1025.6999212137891,918.1524494831048,1130.8930288435167,GeForce RTX 4080 SUPER
2024-01-09,1034.1578424790123,929.1863758041031,1140.9652959622258,GeForce RTX 4080 SUPER
2024-01-10,1042.625972806374,941.0188054741342,1152.5604284254123,GeForce RTX 4080 SUPER
2024-01-11,1051.0941043506464,941.1957595508624,1162.36380537548,GeForce RTX 4080 SUPER
2024-01-12,1059.5622358949188,951.3086082211348,1168.1253399456157,GeForce RTX 4080 SUPER
2024-02-01,1228.924866780366,1120.7523823096597,1336.236094250166,GeForce RTX 4080 SUPER
2024-03-01,1474.500681564265,1367.0273530170973,1581.0397927560798,GeForce RTX 4080 SUPER
2024-04-01,1737.0127594367086,1613.5718973000835,1835.7288704139248,GeForce RTX 4080 SUPER
2024-05-01,1991.0567057648796,1883.6983517437257,2093.951792934037,GeForce RTX 4080 SUPER
2024-06-01,2253.5687836373236,2139.592413141296,2366.7881450272403,GeForce RTX 4080 SUPER
2024-07-01,2507.6127299654945,2399.2854749428416,2616.9016178244133,GeForce RTX 4080 SUPER
2024-08-01,2770.124807837938,2665.192387018646,2876.4672025470772,GeForce RTX 4080 SUPER
2024-09-01,3032.6368857103816,2929.1922321848656,3145.837703224101,GeForce RTX 4080 SUPER
2024-10-01,3286.680832038553,3182.585816639433,3399.637957306324,GeForce RTX 4080 SUPER
2024-11-01,3549.1929099109966,3439.8724839655865,3650.9669458053577,GeForce RTX 4080 SUPER
2024-12-01,3803.236856239168,3695.416688453492,3905.745336686897,GeForce RTX 4080 SUPER
2025-01-01,4065.748934111611,3960.896612182272,4171.257727542994,GeForce RTX 4080 SUPER
2025-02-01,4328.261011984055,4221.096452041618,4431.157172145486,GeForce RTX 4080 SUPER
2025-03-01,4565.368695223681,4462.304652876989,4672.502298059635,GeForce RTX 4080 SUPER
2025-04-01,4827.880773096125,4723.388591239183,4944.122945917001,GeForce RTX 4080 SUPER
2025-05-01,5081.924719424295,4977.906927205176,5189.006424407595,GeForce RTX 4080 SUPER
2025-06-01,5344.436797296739,5230.956405431046,5444.197069250864,GeForce RTX 4080 SUPER
2025-07-01,5598.48074362491,5495.753952947393,5706.992652578881,GeForce RTX 4080 SUPER
2025-08-01,5860.992821497354,5758.7924582484675,5975.42412224332,GeForce RTX 4080 SUPER
2025-09-01,6123.504899369797,6010.615775988314,6233.451302908101,GeForce RTX 4080 SUPER
2025-10-01,6377.548845697969,6277.846696713422,6489.760012540414,GeForce RTX 4080 SUPER
2025-11-01,6640.060923570413,6536.3725274521585,6753.044450615377,GeForce RTX 4080 SUPER
2025-12-01,6894.104869898584,6785.545465180611,7008.345836923335,GeForce RTX 4080 SUPER
2026-01-01,7156.616947771027,7047.841236597762,7266.632804941688,GeForce RTX 4080 SUPER
2026-02-01,7419.12902564347,7308.346879069824,7532.4306012332345,GeForce RTX 4080 SUPER
2026-03-01,7656.236708883098,7556.4240464715995,7766.593214737097,GeForce RTX 4080 SUPER
2026-04-01,7918.748786755541,7810.319599250696,8025.256291577036,GeForce RTX 4080 SUPER
2026-05-01,8172.792733083712,8068.864675884568,8282.429653066045,GeForce RTX 4080 SUPER
2026-06-01,8435.304810956155,8321.897743448502,8536.559920536129,GeForce RTX 4080 SUPER
2026-07-01,8689.348757284328,8578.488620528427,8797.244249428573,GeForce RTX 4080 SUPER
2026-08-01,8951.860835156771,8845.812556133616,9061.4799326072,GeForce RTX 4080 SUPER
2026-09-01,9214.372913029214,9110.533540014036,9318.476460078087,GeForce RTX 4080 SUPER
2026-10-01,9468.416859357385,9356.215103340359,9573.730141060181,GeForce RTX 4080 SUPER
2026-11-01,9730.928937229828,9622.44410750509,9838.891715186572,GeForce RTX 4080 SUPER
2026-12-01,9984.972883558,9875.826642645363,10089.947754537152,GeForce RTX 4080 SUPER
2027-01-01,10247.484961430444,10143.288945927136,10365.918572057491,GeForce RTX 4080 SUPER
2027-02-01,10509.997039302887,10396.859075713057,10619.708766688336,GeForce RTX 4080 SUPER
2027-03-01,10747.104722542514,10631.398249284677,10854.997568898429,GeForce RTX 4080 SUPER
2027-04-01,11009.616800414955,10900.72322902755,11122.50903522927,GeForce RTX 4080 SUPER
2027-05-01,11263.660746743126,11155.251479053593,11372.413631531179,GeForce RTX 4080 SUPER
2027-06-01,11526.172824615573,11417.643258353522,11638.065471688262,GeForce RTX 4080 SUPER
2027-07-01,11780.216770943742,11677.013063082717,11891.403723766403,GeForce RTX 4080 SUPER
2027-08-01,12042.728848816187,11929.749038177824,12154.241671347014,GeForce RTX 4080 SUPER
2027-09-01,12305.240926688628,12199.382200925113,12419.925145452366,GeForce RTX 4080 SUPER
2027-10-01,12559.284873016799,12454.005830721284,12677.76833482669,GeForce RTX 4080 SUPER
2027-11-01,12821.796950889246,12706.698521176613,12928.959461424625,GeForce RTX 4080 SUPER
2027-12-01,13075.840897217415,12964.617896548507,13191.64948326061,GeForce RTX 4080 SUPER
2028-01-01,13338.35297508986,13231.842334827128,13445.956963104934,GeForce RTX 4080 SUPER
2028-02-01,13600.865052962301,13500.889777336468,13714.285001661527,GeForce RTX 4080 SUPER
2028-03-01,13846.440867746202,13739.393859676558,13957.859188111508,GeForce RTX 4080 SUPER
2028-04-01,14108.952945618646,14005.373298817818,14220.59331665772,GeForce RTX 4080 SUPER
2028-05-01,14362.996891946816,14253.021895751812,14474.987556004757,GeForce RTX 4080 SUPER
2028-06-01,14625.508969819259,14515.749992467647,14734.57114624049,GeForce RTX 4080 SUPER
2028-07-01,14879.552916147433,14767.017276765748,14986.967760725182,GeForce RTX 4080 SUPER
2028-08-01,15142.064994019875,15034.200557331522,15246.793542210893,GeForce RTX 4080 SUPER
2028-09-01,15404.57707189232,15294.292890418328,15514.95515828066,GeForce RTX 4080 SUPER
